Topic,Top Words,Probabilities
Topic 1,"['data', 'spacecraft', 'orbit', 'satellite', 'mars']","[0.04806755440077947, 0.04546930821695356, 0.037999350438454045, 0.03670022734654108, 0.03670022734654108]"
Topic 2,"['body', 'take', 'problems', 'long', 'time']","[0.030033370411568408, 0.029199110122358176, 0.028921023359288096, 0.02864293659621802, 0.023637374860956618]"
Topic 3,"['process', 'software', 'within', 'etc', 'level']","[0.02873961218836565, 0.02873961218836565, 0.024930747922437674, 0.02389196675900277, 0.023199445983379502]"
Topic 4,"['time', 'now', 'day', 'like', 'even']","[0.04989556741703412, 0.03550707820840102, 0.03434671617544674, 0.03272220932931075, 0.028312833604084476]"
Topic 5,"['available', 'email', 'information', 'please', 'also']","[0.044097125313982695, 0.038515210717276024, 0.033770583310075354, 0.030421434552051353, 0.028746860173039353]"
Topic 6,"['medical', 'patients', 'disease', 'cancer', 'medicine']","[0.06368563685636856, 0.06131436314363144, 0.06063685636856368, 0.04437669376693767, 0.04369918699186992]"
Topic 7,"['moon', 'lunar', 'first', 'earth', 'orbit']","[0.08915054667788057, 0.08788898233809925, 0.06433978132884777, 0.055088309503784696, 0.04878048780487805]"
Topic 8,"['studies', 'many', 'use', 'like', 'read']","[0.0374455732946299, 0.02583454281567489, 0.024383164005805515, 0.02351233671988389, 0.02351233671988389]"
Topic 9,"['health', 'water', 'use', 'number', 'among']","[0.07393983327292497, 0.05219282348677057, 0.03769481696266763, 0.02899601304820587, 0.028271112722000724]"
Topic 10,"['launch', 'space', 'rocket', 'commercial', 'new']","[0.08519511468573131, 0.04736371760500447, 0.030682156687518617, 0.03038427167113494, 0.027405421507298182]"
Topic 11,"['msg', 'food', 'people', 'steve', 'candida']","[0.08535739070090215, 0.07321304649548924, 0.033310201249132546, 0.031922276197085354, 0.030534351145038167]"
Topic 12,"['know', 'anyone', 'may', 'like', 'think']","[0.04336437718277066, 0.037543655413271246, 0.03288707799767171, 0.03259604190919674, 0.027357392316647265]"
Topic 13,"['work', 'much', 'like', 'just', 'money']","[0.04541353383458647, 0.03849624060150376, 0.03548872180451128, 0.033984962406015035, 0.027669172932330826]"
Topic 14,"['space', 'nasa', 'shuttle', 'station', 'flight']","[0.2239819004524887, 0.12858220211161386, 0.06975867269984917, 0.047888386123680245, 0.033559577677224735]"
Topic 15,"['science', 'think', 'much', 'scientific', 'make']","[0.06, 0.03841269841269841, 0.028888888888888888, 0.022222222222222223, 0.020634920634920634]"
Topic 16,"['pain', 'doctor', 'get', 'also', 'first']","[0.04338527344943477, 0.035747021081576534, 0.03452490070271922, 0.03269172013443324, 0.02413687748243202]"
Topic 17,"['research', 'university', 'center', 'national', 'program']","[0.057290174735032943, 0.04583213978802635, 0.0389573188198224, 0.03208249785161845, 0.028645087367516472]"
Topic 18,"['system', 'space', 'power', 'high', 'solar']","[0.052466990965948576, 0.043085476025017375, 0.03335649756775538, 0.02779708130646282, 0.02571230020847811]"
Topic 19,"['just', 'people', 'see', 'think', 'get']","[0.046804123711340205, 0.035670103092783505, 0.0331958762886598, 0.02845360824742268, 0.027835051546391754]"
Topic 20,"['gordon', 'banks', 'soon', 'intellect', 'skepticism']","[0.09302325581395349, 0.08759689922480621, 0.06976744186046512, 0.056589147286821705, 0.056589147286821705]"
